t,Original,Heun,Euler,Actual
0,5,5,5,5
0.01,4.98,4.9801,4.9801,4.98009966749834
0.02,4.9602,4.960398005,4.960398005,4.96039734661351
0.03,4.940598,4.94089204485025,4.94089204485025,4.94089106709702
0.04,4.92119202,4.92158016900399,4.92158016900399,4.92157887830465
0.05,4.9019800998,4.9024604463224,4.9024604463224,4.90245884900143
0.06,4.882960298802,4.88353096488149,4.88353096488149,4.8835290671685
0.07,4.86413069581398,4.86478983178092,4.86478983178092,4.8647876398119
0.08,4.84548938885584,4.8462351729547,4.8462351729547,4.84623269277327
0.09,4.82703449496728,4.8278651329838,4.8278651329838,4.82786237054246
0.1,4.80876415001761,4.80967787491061,4.80967787491061,4.80967483607192
0.11,4.79067650851743,4.79167158005525,4.79167158005525,4.79166827059306
0.12,4.77276974343226,4.7738444478337,4.7738444478337,4.77384087343431
0.13,4.75504204599794,4.75619469557776,4.75619469557776,4.75619086184112
0.14,4.73749162553796,4.73872055835676,4.73872055835676,4.73871647079761
0.15,4.72011670928258,4.72142028880111,4.72142028880111,4.72141595285012
0.16,4.70291554218975,4.70429215692754,4.70429215692754,4.70428757793242
0.17,4.68588638676786,4.68733444996611,4.68733444996611,4.68732963319277
0.18,4.66902752290018,4.67054547218895,4.67054547218895,4.67054042282254
0.19,4.65233724767117,4.65392354474067,4.65392354474067,4.65391826788672
0.2,4.63581387519446,4.6374670054705,4.6374670054705,4.63746150615596
0.21,4.61945573644252,4.62117420876607,4.62117420876607,4.62116849194037
0.22,4.60326117907809,4.60504352538884,4.60504352538884,4.60503759592496
0.23,4.58722856728731,4.58907334231123,4.58907334231123,4.58906720500667
0.24,4.57135628161444,4.57326206255523,4.57326206255523,4.57325572213311
0.25,4.55564271879829,4.5576081050328,4.5576081050328,4.55760156614281
0.26,4.54008629161031,4.54210990438773,4.54210990438773,4.54210317160713
0.27,4.52468542869421,4.52676591083907,4.52676591083907,4.52675898867371
0.28,4.50943857440727,4.51157459002622,4.51157459002622,4.51156748291145
0.29,4.49434418866319,4.49653442285546,4.49653442285546,4.49652713515713
0.3,4.47940074677656,4.48164390534805,4.48164390534805,4.48163644136344
0.31,4.4646067393088,4.46690154848984,4.46690154848984,4.46689391244858
0.32,4.44996067191571,4.45230587808236,4.45230587808236,4.45229807414738
0.33,4.43546106519655,4.43785543459544,4.43785543459544,4.43784746686385
0.34,4.42110645454459,4.42354877302122,4.42354877302122,4.42354064552522
0.35,4.40689538999914,4.40938446272966,4.40938446272966,4.40937617943743
0.36,4.39282643609915,4.3953610873255,4.3953610873255,4.39535265214206
0.37,4.37889817173816,4.38147724450661,4.38147724450661,4.38146866127471
0.38,4.36510919002077,4.36773154592377,4.36773154592377,4.36772281842471
0.39,4.35145809812057,4.35412261704183,4.35412261704183,4.35411374899633
0.4,4.33794351713936,4.34064909700226,4.34064909700226,4.34064009207128
0.41,4.32456408196797,4.32730963848709,4.32730963848709,4.32730050027264
0.42,4.31131844114829,4.31410290758414,4.31410290758414,4.31409363963011
